Company,TypeName,Cpu,Ram,Gpu,OpSys,Weight,Price,Touchscreen,IPS,ppi,SSD,HDD
Acer,Notebook,Intel Core i5 8250U 1.6GHz,4.0,Nvidia GeForce MX150,Windows 10,3.0,42890.4,0,1,157.3505121487356,256,0
Dell,Notebook,Intel Core i5 8250U 1.6GHz,8.0,AMD Radeon 520,Windows 10,2.13,38787.84,0,0,141.21199808219862,256,0
Lenovo,Gaming,Intel Core i7 7700HQ 2.8GHz,16.0,Nvidia GeForce GTX 1050 Ti,Windows 10,2.5,57489.12,0,1,157.3505121487356,256,0
Acer,Notebook,Intel Celeron Dual Core N3350 1.1GHz,4.0,Intel HD Graphics 500,Windows 10,2.1,18541.44,0,0,100.45466986113651,0,1000
MSI,Gaming,Intel Core i7 7700HQ 2.8GHz,16.0,Nvidia GeForce GTX 1060,Windows 10,2.4,95850.72,0,1,157.3505121487356,256,1000
Acer,Notebook,Intel Pentium Quad Core N4200 1.1GHz,4.0,Intel HD Graphics 505,Windows 10,2.1,19367.8128,0,0,100.45466986113651,0,1000
Dell,Gaming,Intel Core i7 7700HQ 2.8GHz,8.0,Nvidia GeForce GTX 1050,Windows 10,2.56,56502.9072,0,0,141.21199808219862,128,1000
Acer,Notebook,Intel Core i5 8250U 1.6GHz,8.0,Nvidia GeForce MX150,Windows 10,3.0,45501.12,0,1,157.3505121487356,256,0
HP,Notebook,Intel Core i5 8250U 1.6GHz,4.0,Intel UHD Graphics 620,Windows 10,1.49,40173.12,0,1,157.3505121487356,0,500
Huawei,Ultrabook,Intel Core i5 7200U 2.5GHz,8.0,Intel HD Graphics 620,Windows 10,1.05,71874.72,0,1,199.69207064108247,256,0
HP,Notebook,Intel Core i5 7200U 2.5GHz,6.0,AMD Radeon 520,Windows 10,2.71,37242.72,0,1,157.3505121487356,0,2000
Lenovo,Notebook,AMD A6-Series 9220 2.9GHz,4.0,AMD Radeon R4 Graphics,No OS,2.2,16463.52,0,0,100.45466986113651,0,500
Toshiba,Notebook,Intel Core i3 7100U 2.4GHz,4.0,Intel HD Graphics 620,Windows 10,5.4,26053.92,0,0,100.45466986113651,0,500
HP,Notebook,Intel Core i5 8250U 1.6GHz,8.0,Nvidia GeForce 930MX,Windows 10,2.5,49177.44,0,0,141.21199808219862,256,0
Dell,Notebook,Intel Core i3 7100U 2.4GHz,8.0,Intel HD Graphics 620,Windows 10,2.3,24455.52,0,0,100.45466986113651,0,1000
Acer,Notebook,Intel Core i3 6006U 2GHz,4.0,Intel HD Graphics 520,Windows 10,2.1,23922.72,0,0,100.45466986113651,128,0
MSI,Gaming,Intel Core i7 6920HQ 2.9GHz,32.0,Nvidia GTX 980 SLI,Windows 10,4.4,149130.72,0,0,141.21199808219862,512,1000
Lenovo,Notebook,Intel Core i5 7200U 2.5GHz,8.0,AMD R17M-M1-70,Windows 10,1.9,43316.64,0,0,141.21199808219862,128,1000
HP,2 in 1 Convertible,Intel Core i5 8250U 1.6GHz,8.0,Intel UHD Graphics 620,Windows 10,1.29,79866.72,1,1,352.4651472131677,256,0
Dell,Notebook,Intel Core i7 8550U 1.8GHz,16.0,AMD Radeon 530,Linux,2.02,55890.72,0,0,141.21199808219862,256,2000
Dell,Ultrabook,Intel Core i5 8250U 1.6GHz,8.0,Intel UHD Graphics 620,Windows 10,1.23,74538.72,0,0,141.21199808219862,256,0
Lenovo,2 in 1 Convertible,Intel Core i7 8550U 1.8GHz,16.0,Intel UHD Graphics 620,Windows 10,1.4,98514.72,1,1,352.4651472131677,512,0
Toshiba,Notebook,Intel Core i5 7200U 2.5GHz,8.0,Intel HD Graphics 620,Windows 10,2.0,42251.04,0,0,100.45466986113651,128,0
Xiaomi,Notebook,Intel Core i5 8250U 1.6GHz,8.0,Nvidia GeForce MX150,No OS,1.95,63882.72,0,1,157.3505121487356,256,0
Dell,Notebook,Intel Core i7 8550U 1.8GHz,16.0,Nvidia GeForce 150MX,Windows 10,2.77,82530.72,1,0,165.6321180513006,512,0
